,M6600003
2012-11-06,641.0
2012-11-07,658.0
2012-11-08,865.0
2012-11-09,688.0
2012-11-10,422.0
2012-11-11,374.0
2012-11-12,643.0
2012-11-13,625.0
2012-11-14,636.0
2012-11-15,606.0
2012-11-16,578.0
2012-11-17,346.0
2012-11-18,275.0
2012-11-19,636.0
2012-11-20,630.0
2012-11-21,678.0
2012-11-22,699.0
2012-11-23,625.0
2012-11-24,343.0
2012-11-25,315.0
2012-11-26,632.0
2012-11-27,852.0
2012-11-28,623.0
2012-11-29,645.0
2012-11-30,642.0
2012-12-01,343.0
2012-12-02,365.0
2012-12-03,616.0
2012-12-04,814.0
2012-12-05,696.0
2012-12-06,645.0
2012-12-07,567.0
2012-12-08,313.0
2012-12-09,338.0
2012-12-10,637.0
2012-12-11,544.0
2012-12-12,446.0
2012-12-13,587.0
2012-12-14,540.0
2012-12-15,344.0
2012-12-16,326.0
2012-12-17,759.0
2012-12-18,634.0
2012-12-19,641.0
2012-12-20,590.0
2012-12-21,488.0
2012-12-22,298.0
2012-12-23,280.0
2012-12-24,470.0
2012-12-25,583.0
2012-12-26,550.0
2012-12-27,633.0
2012-12-28,567.0
2012-12-29,516.0
2012-12-30,303.0
2012-12-31,376.0
2013-01-01,281.0
2013-01-02,301.0
2013-01-03,361.0
2013-01-04,548.0
2013-01-05,555.0
2013-01-06,601.0
2013-01-07,668.0
2013-01-08,675.0
2013-01-09,738.0
2013-01-10,721.0
2013-01-11,615.0
2013-01-12,410.0
2013-01-13,377.0
2013-01-14,612.0
2013-01-15,613.0
2013-01-16,604.0
2013-01-17,620.0
2013-01-18,596.0
2013-01-19,369.0
2013-01-20,326.0
2013-01-21,617.0
2013-01-22,636.0
2013-01-23,636.0
2013-01-24,583.0
2013-01-25,578.0
2013-01-26,397.0
2013-01-27,326.0
2013-01-28,535.0
2013-01-29,578.0
2013-01-30,605.0
2013-01-31,602.0
2013-02-01,513.0
2013-02-02,378.0
2013-02-03,320.0
2013-02-04,506.0
2013-02-05,496.0
2013-02-06,411.0
2013-02-07,335.0
2013-02-08,219.0
2013-02-09,171.0
2013-02-10,156.0
2013-02-11,199.0
2013-02-12,212.0
2013-02-13,202.0
2013-02-14,228.0
2013-02-15,269.0
2013-02-16,468.0
2013-02-17,585.0
2013-02-18,743.0
2013-02-19,817.0
2013-02-20,900.0
2013-02-21,834.0
2013-02-22,867.0
2013-02-23,573.0
2013-02-24,416.0
2013-02-25,986.0
2013-02-26,1054.0
2013-02-27,1024.0
2013-02-28,1018.0
2013-03-01,891.0
2013-03-02,497.0
2013-03-03,503.0
2013-03-04,1006.0
2013-03-05,997.0
2013-03-06,894.0
2013-03-07,937.0
2013-03-08,810.0
2013-03-09,503.0
2013-03-10,457.0
2013-03-11,966.0
2013-03-12,1038.0
2013-03-13,963.0
2013-03-14,999.0
2013-03-15,875.0
2013-03-16,564.0
2013-03-17,487.0
2013-03-18,994.0
2013-03-19,951.0
2013-03-20,951.0
2013-03-21,995.0
2013-03-22,869.0
2013-03-23,702.0
2013-03-24,631.0
2013-03-25,1181.0
2013-03-26,1190.0
2013-03-27,1243.0
2013-03-28,1189.0
2013-03-29,1115.0
2013-03-30,829.0
2013-03-31,749.0
2013-04-01,1204.0
2013-04-02,1108.0
2013-04-03,909.0
2013-04-04,537.0
2013-04-05,534.0
2013-04-06,508.0
2013-04-07,817.0
2013-04-08,951.0
2013-04-09,841.0
2013-04-10,866.0
2013-04-11,894.0
2013-04-12,830.0
2013-04-13,529.0
2013-04-14,447.0
2013-04-15,882.0
2013-04-16,920.0
2013-04-17,851.0
2013-04-18,755.0
2013-04-19,725.0
2013-04-20,427.0
2013-04-21,388.0
2013-04-22,769.0
2013-04-23,843.0
2013-04-24,793.0
2013-04-25,806.0
2013-04-26,805.0
2013-04-27,641.0
2013-04-28,657.0
2013-04-29,397.0
2013-04-30,364.0
2013-05-01,330.0
2013-05-02,711.0
2013-05-03,741.0
2013-05-04,437.0
2013-05-05,404.0
2013-05-06,855.0
2013-05-07,843.0
2013-05-08,796.0
2013-05-09,788.0
2013-05-10,724.0
2013-05-11,420.0
2013-05-12,360.0
2013-05-13,729.0
2013-05-14,792.0
2013-05-15,811.0
2013-05-16,799.0
2013-05-17,708.0
2013-05-18,443.0
2013-05-19,397.0
2013-05-20,760.0
2013-05-21,857.0
2013-05-22,787.0
2013-05-23,760.0
2013-05-24,797.0
2013-05-25,422.0
2013-05-26,372.0
2013-05-27,749.0
2013-05-28,835.0
2013-05-29,780.0
2013-05-30,827.0
2013-05-31,731.0
2013-06-01,463.0
2013-06-02,408.0
2013-06-03,800.0
2013-06-04,790.0
2013-06-05,850.0
2013-06-06,783.0
2013-06-07,802.0
2013-06-08,638.0
2013-06-09,543.0
2013-06-10,414.0
2013-06-11,350.0
2013-06-12,324.0
2013-06-13,761.0
2013-06-14,711.0
2013-06-15,444.0
2013-06-16,350.0
2013-06-17,887.0
2013-06-18,1036.0
2013-06-19,843.0
2013-06-20,796.0
2013-06-21,707.0
2013-06-22,462.0
2013-06-23,440.0
2013-06-24,1007.0
2013-06-25,953.0
2013-06-26,869.0
2013-06-27,912.0
2013-06-28,835.0
2013-06-29,501.0
2013-06-30,490.0
2013-07-01,938.0
2013-07-02,956.0
2013-07-03,953.0
2013-07-04,977.0
2013-07-05,721.0
2013-07-06,465.0
2013-07-07,448.0
2013-07-08,779.0
2013-07-09,790.0
2013-07-10,993.0
2013-07-11,826.0
2013-07-12,909.0
2013-07-13,571.0
2013-07-14,511.0
2013-07-15,1141.0
2013-07-16,1143.0
2013-07-17,1124.0
2013-07-18,939.0
2013-07-19,796.0
2013-07-20,488.0
2013-07-21,447.0
2013-07-22,926.0
2013-07-23,928.0
2013-07-24,909.0
2013-07-25,867.0
2013-07-26,807.0
2013-07-27,476.0
2013-07-28,421.0
2013-07-29,860.0
2013-07-30,772.0
2013-07-31,750.0
2013-08-01,779.0
2013-08-02,845.0
2013-08-03,557.0
2013-08-04,469.0
2013-08-05,869.0
2013-08-06,739.0
2013-08-07,782.0
2013-08-08,751.0
2013-08-09,737.0
2013-08-10,504.0
2013-08-11,424.0
2013-08-12,774.0
2013-08-13,699.0
2013-08-14,913.0
2013-08-15,861.0
2013-08-16,747.0
2013-08-17,550.0
2013-08-18,459.0
2013-08-19,789.0
2013-08-20,806.0
2013-08-21,779.0
2013-08-22,1008.0
2013-08-23,744.0
2013-08-24,446.0
2013-08-25,411.0
2013-08-26,699.0
2013-08-27,713.0
2013-08-28,875.0
2013-08-29,991.0
2013-08-30,821.0
2013-08-31,514.0
2013-09-01,451.0
2013-09-02,808.0
2013-09-03,928.0
2013-09-04,1050.0
2013-09-05,934.0
2013-09-06,893.0
2013-09-07,436.0
2013-09-08,369.0
2013-09-09,705.0
2013-09-10,773.0
2013-09-11,765.0
2013-09-12,934.0
2013-09-13,863.0
2013-09-14,456.0
2013-09-15,422.0
2013-09-16,854.0
2013-09-17,815.0
2013-09-18,687.0
2013-09-19,389.0
2013-09-20,398.0
2013-09-21,522.0
2013-09-22,751.0
2013-09-23,750.0
2013-09-24,738.0
2013-09-25,669.0
2013-09-26,723.0
2013-09-27,679.0
2013-09-28,480.0
2013-09-29,546.0
2013-09-30,446.0
2013-10-01,281.0
2013-10-02,250.0
2013-10-03,267.0
2013-10-04,290.0
2013-10-05,327.0
2013-10-06,323.0
2013-10-07,377.0
2013-10-08,736.0
2013-10-09,811.0
2013-10-10,810.0
2013-10-11,815.0
2013-10-12,639.0
2013-10-13,426.0
2013-10-14,773.0
2013-10-15,809.0
2013-10-16,792.0
2013-10-17,710.0
2013-10-18,695.0
